playerID,playerName,position
18252,Eddie Ray,RB-TE
8498,Hal Griffen,C-T
5931,Oscar Dragon,RB
15989,Don Muhlbach,C
10072,Tommy Holleran,B
19345,Joe Sabasteanski,G-LB-C
23448,Nate Wayne,LB
9960,Terry Hoage,DB
17112,Steve Parker,DE
14467,Chris McCain,LB
3721,Sal Cesario,T
3166,LeRoy Butler,DB
5926,Ted Doyle,T-G
9227,Ronnie Harris,WR
48,Mike Adamle,RB
15251,Don Milan,QB
20848,Matt Snider,FB
6510,Hal Erickson,B
3270,Don Calhoun,RB
13178,Matt Lengel,TE
9304,Howard Hartley ,B
961,Sam Ball,T
3104,Elmer Busch,G-C
19691,Ray Schoenke,G-T
8547,Nic Grigsby,RB
3083,Jim Burt,NT-DT
18340,Ed Reed,DB
15086,Steve Meilinger,E
9229,Rudy Harris,RB
22337,Howie Tipton,G-WB-BB-E
17728,John Polanski,FB
15557,John Mohring,LB
4160,Shaun Cody,DT
13880,Walter Mahan,G
11804,Ed Judie,LB
22605,Laremy Tunsil,OT
24473,Ronnie Wingo,RB
9531,Willie Hector,T
3670,Toby Caston,LB
19078,Nelson Rosario,TE
10130,Lendy Holmes,DB
1643,Rex Berry ,DB-HB
24940,Mike Yount,T
12761,Tron LaFavor,DT
10586,Carlos Hyde,RB
6198,Lou Eaton,T
7048,Lee Flowers,DB
6233,Nick Eddy,RB
20282,Leon Simmons ,LB
668,Richard Ash,DT
19265,Al Russas,T-DE
14625,Sultan McCullough,RB
10826,Rich Jackson,DE-LB
10811,Marlion Jackson,RB
11377,Nico Johnson,ILB
14374,Aaron Maybin,DE
6585,Jon Evans,E
24384,Jerry Wilson,DB
9236,Tim Harris,LB-DE
757,Terrence Austin,WR
21191,Larry Steinbach,T-G
18035,Alfred Pupunu,TE
5231,Isaac Davis,G
22057,J.T. Thomas,LB
11200,Charles Johnson,WR
23557,Ed Weisacosky,LB
14352,Alvin Maxson,RB
11417,Sidney Johnson,DB
10790,Jonathan Jackson,LB
22563,Erroll Tucker,DB
3356,James Campen,C
18616,Kyle Richardson ,P
4300,George Collins,T-G
359,Mack Alston,TE
13827,Waddy MacPhee,HB-FB
17840,Myron Pottios,LB
9379,Dave Haverdick,DT
12929,Jim Laslavic,LB
15171,Russ Method,B
24059,Duke Williams,SS
11456,Walter Johnson,LB
9906,Jason Hilliard,T
1969,Don Boll,T-G
2886,Bill Bucher,E
7508,Lawrence Gaines,RB
4246,Justin Coleman,CB
635,Brian Arnfelt,DE
12060,Ellison Kelly,G
11253,Ellis Johnson ,HB-WR
22426,Ryan Torain,RB
18361,Rayshun Reed,DB
9215,Nigel Harris,OLB
2056,James Bostic,RB
11116,Gary Jeter,DE-DT
15681,Gene Moore,C-LB
21259,Dick Stevens,T
17328,Joseph Pellegrini,G-C
15651,Brandon Moore,T
4994,Jacob Cutrera,LB
7074,Furlong Flynn,G-T
7505,Clark Gaines,RB
18938,Walt Rock,T-DT
18052,Duane Putnam ,G
23489,Dee Webb,DB
8197,Neil Graff,QB
582,Dri Archer,WR
16994,Jeff Pahukoa,G-T
2118,Andy Bowling,LB
21508,Caleb Sturgis,K
13020,George Layne,RB
13951,James Maness,WR
17176,Patrick Pass,FB
13265,Dave Lewis,LB
16868,Terry Orr,TE
16115,Chet Mutryn,HB-DB
23311,Brian Washington,DB
22400,Laken Tomlinson,OG
5772,Matt Dominguez,TE
21059,Jack Stackpool,FB
14714,Ray McElroy,DB
8742,Tyjuan Hagler,LB
20656,Jerry Smith,TE-SE-FL
15921,Norm Mosley,TB
7932,Chris Gizzi,LB
18216,Am Rascher,T-G
18988,Chris Rogers,DB
16413,Robert Niehoff,DB
9208,Michael Harris,C-G
1023,Gary Barbaro,DB
9438,Gerald Hayes,LB
4244,Greg Coleman,P
21970,Martin Tevaseu,DT
18855,Eugene Robinson ,DB
7667,Keith Gary,DE
16926,Don Overton,RB
16583,Rakeem Nunez-Roches,DT
20318,Bill Simpson,DB
19186,Orpheus Roye,DT-DE
15406,Charlie Milstead,QB-DB
20023,Connor Shaw,QB
23258,Duane Wardlow,DE
278,Carl Allen,RB-DB
18536,Coby Rhinehart ,DB
9679,Lonnie Hepburn,DB
10993,Patrick Jeffers,WR
15167,Bo Metcalf,DB
12008,Mike Keim,T
11590,Greg Jones,LB
2719,Roger Brown,DB
21454,George Strohmeyer,C-LB
17933,Derek Price,TE
15254,Scott Milanovich,QB
13489,James Lofton,WR
9374,Earl Hauser,E-T
12183,Howard Keys,C-T
8084,Rob Goode,B
5437,Joe DeLamielleure,G
3549,Allen Carter,RB
8028,Adam Goldberg,G-T
2858,Matt Bryant,K
18944,Hank Rockwell,G
1983,Devante Bond,OLB
10882,Jim Jacquith,BB
19264,Steve Russ,LB
505,Eric Andolsek,G
21283,David Stewart,T
11949,Kani Kauahi,C
15358,Robert Miller,RB
9859,Jim Hill,DB
12350,Roy Kirksey,G
8139,John Gordon,DT
16530,Jim North,T
794,Mike Baab,C
1077,George Barna,E
9286,Jeff Hart ,T
4812,Jack Cronin ,B
16561,Jeff Novak,G-T
2632,Ivory Lee Brown,RB
19970,Jim Seymour,WR
14080,John Marrow,G-T
231,Mackensie Alexander,CB
5155,Anthony Davis,LB
18425,Gabe Reid,TE
2226,Craig Bradshaw,QB
15710,Malcolm Moore,WR
12097,Ray Kemp,T
12863,Reshard Langford,DB
3863,John Choma,G-C-T
1011,Michael Bankston,DE-NT-DT
24715,Anthony Wright,QB
1165,Josh Barrett,DB
13435,Joe Little Twig,E-T
13775,Ron Mabra,DB
10332,Ian Howfield,K
3089,James Burton,DB
7557,Darryl Gamble,LB
1496,Greg Bellisari,LB
16499,Mark Nordquist,G-C
9689,Ed Herman,E
22437,Flavio Tosi,E
12062,Eric Kelly,DB
6721,Anthony Fasano,TE
9156,Dominique Harris,DB
17768,Ken Poole,DE
13702,Bob Lundell,E
16155,Chris Naeole,G
4773,Juron Criner,WR
9492,Jeff Hazuga,DE
2506,Michael Brooks,DT
9717,Anthony Herron,DE
20856,Percy Snow,LB
21013,Austin Spitler,LB
6540,Mike Estep,G-T
6719,Brett Faryniarz,LB
5779,Jack Donahue,G-T
23361,Ted Washington,LB
21075,Jerry Stalcup,LB
14053,Frank Marion,LB
21684,Erik Swoope,TE
17364,Mac Percival,K
15692,Joe Moore,RB
11235,Dennis Johnson ,LB-DE
23391,Pat Watkins,DB
4092,Kyle Clifton,LB
22005,Bob Thomas,RB
19885,Sam Sebo,FB-WB
19042,Nick Roman,DE
20160,Boris Shlapak,K
2114,Larry Bowie,G
8332,Gary Greaves,T
2663,Kris Brown,K
22720,Steven Uhrinyak,G
7070,D.J. Fluker,OT
5934,Bill Drake,DB-WR
24629,Carl Woods,RB
8465,Edd Gregg,E
1483,Tyrone Bell,DB
9902,Andy Hillhouse,HB
6947,Jake Fisher,OT
15676,Eddie Moore,LB
4677,Jim Cox,G-LB
24778,Doug Wyatt,DB
7893,Joe Gilliam,QB
5943,Shaun Draughn,RB
1746,Dennis Biodrowski,G
8076,Brett Goode,LB
13720,Deuce Lutui,G
14704,Anthony McDowell,RB
