Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,year
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,
360,John Phillips,2TM,TE,29,16,7,0,0,0,0,0,0,0,,0,15,10,72,7.20,1,0,0,1,,,13,23.2,23.2,18.2,,68,,2016
361,Jaelen Strong,HOU,WR,22,8,2,0,0,0,0,0,0,0,,0,24,14,131,9.36,0,0,0,0,,,13,27.1,30.1,20.1,,140,,2016
362,Paul Turner,PHI,WR,23,4,2,0,0,0,0,0,0,0,,0,14,9,126,14.00,0,0,0,0,,,13,21.6,24.6,17.1,,142,,2016
363,Markus Wheaton,PIT,WR,25,3,2,0,0,0,0,0,0,0,,0,9,4,51,12.75,1,0,0,1,1,,13,17.1,17.1,15.1,,139,,2016
364,Jarius Wright,MIN,WR,27,8,1,0,0,0,0,0,0,0,,0,14,11,67,6.09,1,0,0,1,,,13,23.7,23.7,18.2,,141,,2016
365,Jordan Cameron,MIA,TE,28,3,3,0,0,0,0,0,0,0,,0,11,8,60,7.50,1,0,0,1,,,12,20.0,20.0,16.0,,71,,2016
366,Mike Davis,SFO,RB,23,8,1,0,0,0,0,0,19,50,2.63,1,5,3,25,8.33,0,1,1,1,,,12,14.5,15.5,13.0,,106,,2016
367,Rhett Ellison,MIN,RB,28,15,6,0,0,0,0,0,1,1,1.00,1,14,9,57,6.33,0,0,0,1,,,12,20.8,20.8,16.3,,105,,2016
368,Brittan Golden,ARI,WR,28,12,1,0,0,0,0,0,0,0,,0,14,8,82,10.25,1,1,1,1,,,12,20.2,21.2,16.2,,144,,2016
369,Dominique Jones,MIA,TE,29,9,2,0,0,0,0,0,0,0,,0,10,7,61,8.71,1,0,0,1,,,12,19.1,19.1,15.6,,70,,2016
370,Jordan Todman,IND,RB,26,16,0,0,0,0,0,0,9,59,6.56,0,1,0,0,,0,0,0,1,,,12,11.9,11.9,11.9,,104,,2016
371,Jamaal Charles,KAN,RB,30,3,0,0,0,0,0,0,12,40,3.33,1,3,2,14,7.00,0,0,0,1,,,11,13.4,13.4,12.4,,108,,2016
372,Patrick DiMarco,ATL,RB,27,16,8,0,0,0,0,0,0,0,,0,10,7,52,7.43,1,0,0,1,,,11,18.2,18.2,14.7,,109,,2016
373,Neal Sterling,JAX,WR,24,10,1,0,0,0,0,0,0,0,,0,16,12,110,9.17,0,0,0,0,,,11,23.0,26.0,17.0,,146,,2016
374,Lucky Whitehead,DAL,WR,24,15,1,0,0,0,0,0,10,82,8.20,0,3,3,48,16.00,0,3,1,0,,,11,14.0,15.0,12.5,,145,,2016
375,Jonathan Williams,BUF,RB,22,11,0,0,1,0,0,0,27,94,3.48,1,2,1,0,0.00,0,2,2,1,,,11,12.4,14.4,11.9,,107,,2016
376,Demarcus Ayers,PIT,WR,22,2,1,0,0,0,0,0,2,-12,-6.00,0,13,6,53,8.83,1,0,0,1,,,10,16.1,16.1,13.1,,147,,2016
377,Alan Cross,TAM,TE,23,14,0,0,0,0,0,0,0,0,,0,10,6,38,6.33,1,0,0,1,,,10,15.8,15.8,12.8,,74,,2016
378,Shaun Hill,MIN,QB,36,3,1,19,35,242,0,0,5,5,1.00,0,0,0,0,,0,0,0,0,,,10,10.2,10.2,10.2,,50,,2016
379,David Johnson,PIT,TE,29,16,5,0,0,0,0,0,0,0,,0,11,7,80,11.43,0,0,0,0,1,,10,17.0,17.0,13.5,,73,,2016
380,Darren McFadden,DAL,RB,29,3,1,0,0,0,0,0,24,87,3.63,0,5,3,17,5.67,0,0,0,0,,,10,13.4,13.4,11.9,,110,,2016
381,Joshua Perkins,ATL,TE,23,8,1,0,0,0,0,0,0,0,,0,5,3,42,14.00,1,0,0,1,,,10,13.2,13.2,11.7,,72,,2016
382,Antone Smith,TAM,RB,31,3,0,0,0,0,0,0,10,47,4.70,0,9,6,77,12.83,0,2,1,0,,,10,16.4,17.4,13.4,,111,,2016
383,James Wright,CIN,WR,25,13,2,0,0,0,0,0,2,-6,-3.00,0,19,13,106,8.15,0,0,0,0,,,10,23.0,26.0,16.5,,148,,2016
384,George Atkinson,CLE,RB,24,16,0,0,0,0,0,0,7,34,4.86,1,0,0,0,,0,1,0,1,,,9,9.4,9.4,9.4,,112,,2016
385,Blake Bell,SFO,TE,25,13,0,0,0,0,0,0,0,0,,0,9,4,85,21.25,0,0,0,0,,,9,12.5,12.5,10.5,,77,,2016
386,Leonte Carroo,MIA,WR,22,14,2,0,0,0,0,0,0,0,,0,6,3,29,9.67,1,0,0,1,,,9,11.9,11.9,10.4,,150,,2016
387,Pharoh Cooper,LAR,WR,21,10,3,0,1,0,0,1,0,0,,0,20,14,106,7.57,0,0,0,0,,,9,22.6,26.6,16.6,,153,,2016
388,Gavin Escobar,DAL,TE,25,16,1,0,0,0,0,0,0,0,,0,7,4,30,7.50,1,0,0,1,,,9,13.0,13.0,11.0,,76,,2016
389,Mike Glennon,TAM,QB,27,2,0,10,11,75,1,0,0,0,,0,0,0,0,,0,0,0,0,,1,9,9.0,9.0,9.0,,53,,2016
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,2016
390,T.J. Jones,DET,WR,24,3,0,0,0,0,0,0,0,0,,0,14,5,93,18.60,0,0,0,0,,,9,14.3,14.3,11.8,,149,,2016
391,Tyler Kroft,CIN,TE,24,14,11,0,0,0,0,0,0,0,,0,12,10,92,9.20,0,0,0,0,,,9,19.2,19.2,14.2,,75,,2016
392,Tommylee Lewis,NOR,WR,24,12,1,0,0,0,0,0,3,11,3.67,0,11,7,76,10.86,0,2,0,0,,,9,15.7,15.7,12.2,,151,,2016
393,Marcel Reece,SEA,RB,31,4,0,0,0,0,0,0,2,0,0.00,0,5,5,73,14.60,0,0,0,0,1,,9,14.3,14.3,11.8,,114,,2016
394,Drew Stanton,ARI,QB,32,5,1,19,48,192,2,3,3,-3,-1.00,0,0,0,0,,0,0,0,0,,,9,9.4,12.4,12.4,,52,,2016
395,Juwan Thompson,DEN,RB,24,8,1,0,0,0,0,0,8,26,3.25,1,1,0,0,,0,0,0,1,,,9,8.6,8.6,8.6,,118,,2016
396,Fitzgerald Toussaint,PIT,RB,26,16,0,0,0,0,0,0,14,58,4.14,0,3,3,33,11.00,0,0,0,0,,,9,12.1,12.1,10.6,,115,,2016
397,Bryce Treggs,PHI,WR,22,9,1,0,0,0,0,0,2,7,3.50,0,12,3,80,26.67,0,0,0,0,,,9,11.7,11.7,10.2,,152,,2016
398,Terrell Watson,PHI,RB,23,1,0,0,0,0,0,0,9,28,3.11,1,1,1,5,5.00,0,0,0,1,,,9,10.3,10.3,9.8,,113,,2016
399,Derek Watt,SDG,RB,24,16,2,0,0,0,0,0,2,4,2.00,0,4,4,83,20.75,0,0,0,0,,,9,12.7,12.7,10.7,,117,,2016
400,Charlie Whitehurst,CLE,QB,34,1,0,14,24,182,1,1,2,1,0.50,0,0,0,0,,0,0,0,0,,,9,9.4,10.4,10.4,,51,,2016
401,Andre Williams,SDG,RB,24,1,0,0,0,0,0,0,18,87,4.83,0,2,0,0,,0,0,0,0,,,9,8.7,8.7,8.7,,116,,2016
402,Trevone Boykin,SEA,QB,23,5,0,13,18,145,1,1,8,1,0.13,0,0,0,0,,0,1,0,0,,,8,7.9,8.9,8.9,,55,,2016
403,Ryan Grant,WAS,WR,26,16,1,0,0,0,0,0,0,0,,0,19,9,76,8.44,0,0,0,0,,,8,16.6,16.6,12.1,,155,,2016
404,Connor Hamlett,CLE,TE,24,3,2,0,0,0,0,0,0,0,,0,1,1,17,17.00,1,0,0,1,,,8,8.7,8.7,8.2,,79,,2016
405,Rashard Higgins,CLE,WR,22,16,0,0,0,0,0,0,0,0,,0,12,6,77,12.83,0,0,0,0,,,8,13.7,13.7,10.7,,154,,2016
406,Cody Latimer,DEN,WR,24,12,1,0,0,0,0,0,0,0,,0,15,8,76,9.50,0,0,0,0,,,8,15.6,15.6,11.6,,156,,2016
407,Matt Lengel,NWE,TE,26,6,0,0,0,0,0,0,0,0,,0,3,2,22,11.00,1,0,0,1,,,8,10.2,10.2,9.2,,78,,2016
408,Geno Smith,NYJ,QB,26,2,1,8,14,126,1,1,2,9,4.50,0,0,0,0,,0,1,0,0,,,8,7.9,8.9,8.9,,54,,2016
409,Wendall Williams,HOU,WR,26,3,0,0,0,0,0,0,0,0,,0,7,4,75,18.75,0,0,0,0,,,8,11.5,11.5,9.5,,157,,2016
410,Malcolm Brown,LAR,RB,23,16,0,0,0,0,0,0,18,39,2.17,0,3,3,46,15.33,0,1,1,0,,,7,9.5,10.5,8.0,,121,,2016
411,Aaron Burbridge,SFO,WR,23,16,3,0,0,0,0,0,0,0,,0,16,7,88,12.57,0,1,1,0,,,7,13.8,14.8,10.3,,161,,2016
412,Michael Campanaro,BAL,WR,25,3,0,0,0,0,0,0,3,72,24.00,0,1,0,0,,0,0,0,0,,,7,7.2,7.2,7.2,,158,,2016
413,Josh Doctson,WAS,WR,24,2,0,0,0,0,0,0,0,0,,0,6,2,66,33.00,0,0,0,0,,,7,8.6,8.6,7.6,,162,,2016
414,Alex Erickson,CIN,WR,24,16,0,0,0,0,0,0,0,0,,0,8,6,71,11.83,0,3,0,0,,,7,13.1,13.1,10.1,,159,,2016
415,Jerome Felton,BUF,RB,30,15,4,0,0,0,0,0,8,13,1.63,0,9,6,57,9.50,0,0,0,0,,,7,13.0,13.0,10.0,,120,,2016
416,Maurice Harris,WAS,WR,24,10,0,0,0,0,0,0,0,0,,0,12,8,66,8.25,0,1,0,0,,,7,14.6,14.6,10.6,,163,,2016
417,EJ Manuel,BUF,QB,26,6,1,11,26,131,0,0,8,22,2.75,0,0,0,0,,0,2,1,0,,1,7,7.4,8.4,7.4,,56,,2016
418,Byron Marshall,PHI,RB,22,3,0,0,0,0,0,0,19,64,3.37,0,5,3,10,3.33,0,0,0,0,,,7,10.4,10.4,8.9,,119,,2016
419,Keith Mumphery,HOU,WR,24,11,3,0,0,0,0,0,0,0,,0,12,10,69,6.90,0,0,0,0,,,7,16.9,16.9,11.9,,160,,2016
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,2016
420,Geoff Swaim,DAL,TE,23,9,6,0,0,0,0,0,0,0,,0,8,6,69,11.50,0,0,0,0,,,7,12.9,12.9,9.9,,80,,2016
421,Keenan Allen,SDG,WR,24,1,1,0,0,0,0,0,0,0,,0,7,6,63,10.50,0,0,0,0,,,6,12.3,12.3,9.3,,166,,2016
422,Jace Amaro,TEN,TE,24,3,0,0,0,0,0,0,0,0,,0,4,3,59,19.67,0,0,0,0,,,6,8.9,8.9,7.4,,84,,2016
